Question,Answer,Wrong1,Wrong2,Wrong3,Wrong4
Which movie gained her a nomination for a Golden Globe?,Dreamgirls,Pink Panther,Austin Powers,Cadillac Records,Obsession
Beyonce was the first woman to have ___ solo albums debut at number one,Six,Three,Five,Four,Eight
Which word= created by Beyonce and made famous by her fans= is now in the Oxford Dictionary?,Bootylicious,BeyHive,Queen B,Sasha Fierce,Ivy Park
Destiny's Child has sold more than __ million records worldwide to date.,60,20,10,40,50
What is the name of Beyonce's documentary= released in 2013?,Life is but a Dream,Ivy Park,Eat= Play= Love,Child of Destiny,Bey and Jay
What is Beyonce's favorite number?,4,7,10,1,22
What game did Beyonce beat Kanye West NINE times in a row?,Connect Four,Battleship,Sorry!,Guess Who?,Risk
Beyonce's daughter= Blue Ivy= can be heard on which Jay-Z track released two days after her birth?,Glory,Run This Town,Holy Grail,Young Forever,Otis
What is the name of her younger sister?,Solange,Mary J.,Kelly,Tina,Giselle
What character did she play in Austin Powers: Goldmember?,Foxxxy Cleopatra,Domino Derval,Tatiana Romanova,Honey Ryder,Jill Masterson
What tattoo does Bey have on her ring finger?,IV,Jay-Z's Name,Her Wedding Date,Crazy In Love,4
Which NBA team can she often be seen watching courtside?,Brooklyn Nets,New York Knicks,LA Lakers,Phoenix Suns,Boston Celtics
Which role model did Beyonce gush over= saying 'she proves you can do it all'.,Michelle Obama,Opera,Ellen DeGeneres,Missy Elliot,Diana Ross
Forbes magazine listed her as the most powerful female in entertainment of what year?,2015,2014,2009,2017,2012
What song did Bey collaborate with Lady Gaga on?,Telephone,Friday Night,Poker Face,Just Dance,Run The World
Which rapper is featured on Beyonce's song Freedom from the Lemonade album?,Kendrick Lamar,Lil Wayne,Jay-Z,Rick Ross,Kanye West
Which year did Beyonce reveal her first pregnancy at the MTV Video Music Awards?,2011,2013,2009,2010,2012
Which rapper was featured in the 2003 hit 'Baby Boy'?,Sean Paul,Chris Brown,Shaggy,Nelly,Jay-Z
Which album is the song 'Irreplaceable' from?,B'Day,Dangerously In Love,Beyonce,I Am... Sasha Fierce,Lemonade
Which video caused Kanye West's interruption of the VMAs= claiming she had the 'best video of all time'?,Single Ladies (Put A Ring On It),Halo,Irreplaceable,Crazy In Love,Drunk In Love
Which Beyonce song was remixed and performed with the band The Dixie Chicks?,Daddy's Lessons,Irreplaceable,If I Were A Boy,Single Ladies,Upgrade U
What year was Dangerously In Love released?,2003,2005,2002,2004,2006
What album is the song 'Baby Boy' from?,Dangerously In Love,4,B'Day,Beyonce,Lemonade
What album is the song 'Halo' from?,I Am... Sasha Fierce,B'Day,Beyonce,4,Dangerously In Love
What album is the song '1+1' from?,4,Beyonce,B'Day,Lemonade,I Am... Sasha Fierce
What album is the song 'Drunk In Love' from?,Beyonce,Dangerously In Love,B'Day,4,Lemonade
What album is the song 'Sandcastles' from?,Lemonade,Beyonce,4,B'Day,I Am... Sasha Fierce
For which Motion Picture Soundtrack did Beyonce cover Amy Winehouse's song 'Back To Black'?,The Great Gatsby,Obsessed,Carmen,Cadillac Records,Epic
In which song does Beyonce sing 'I think about you all the time= I see you in my dreams'?,Baby Boy,Naughty Girl,Crazy in Love,Drunk in Love,Love On Top
in which song does Beyonce sing 'Down to ride 'til the very end= it's me and my boyfriend'?,03' Bonnie and Clyde,Crazy In Love,Upgrade U,Check On It,Get Me Bodied
In which song does Beyonce sing 'You was untrue= rollin' her around in the car that I bought you'?,Irreplaceable,Halo,If I Were A Boy,1+1,Beautiful Liar
In which song does Beyonce sing 'I can see the stars all the way from here'?,Love On Top,XO,Start Over,Flawless,Heaven
In which song does Beyonce sing 'When you leave= I'm begging you not to go'?,Crazy in Love,Irreplaceable,Halo,If I Were A Boy,Love On Top
